run_at,rank,id,symbol,score,fund,mom,risk,mcap,vol,rs30,rs7,mc_fdv,tvl,fees30,track,warn
2026-09-23,1,thorchain,RUNE,68,31,37,0,208683629.0,30985129.0,23.5,16.6,0.929,66160007.0,1420737.0,펀더멘털,
2026-09-23,2,lido-dao,LDO,64,40,24,0,359962632.0,61869913.0,-2.7,14.7,0.834,26947832871.0,47481698.0,펀더멘털,
2026-09-23,3,starknet,STRK,62,25,40,-3,307441906.0,54157216.0,36.7,43.8,0.735,238948530.0,,펀더멘털,
2026-09-23,4,blockstack,STX,46,12,34,0,624731758.0,34919721.0,33.0,29.3,1.0,279146.0,,펀더멘털,
2026-09-23,5,eigenlayer,EIGEN,45,28,24,-7,230038418.0,35513700.0,-2.9,15.4,0.502,7226320044.0,220471.0,펀더멘털,물량 부담: FDV 대비 50%
2026-09-23,6,1inch,1INCH,44,12,32,0,144765824.0,30231431.0,0.9,4.4,0.937,3539387.0,,펀더멘털,
2026-09-23,7,celestia,TIA,43,3,40,0,490436030.0,115303941.0,21.6,40.9,0.825,,2419.0,펀더멘털,
2026-09-23,8,sonic-3,S,43,3,40,0,163812515.0,72810448.0,41.1,53.6,1.0,,3666.0,펀더멘털,
2026-09-23,9,polygon-ecosystem-token,POL,42,21,21,0,1165593491.0,82791013.0,-11.3,2.9,1.0,2938038599.0,,펀더멘털,
2026-09-23,10,zama,ZAMA,42,22,32,-12,247682512.0,79185099.0,62.6,99.0,0.217,83145899.0,,펀더멘털,희석 위험: 유통 시총이 FDV의 22%
2026-09-23,11,avalanche-2,AVAX,40,3,37,0,4886064166.0,641358519.0,35.1,38.8,0.943,,166511.0,펀더멘털,
2026-09-23,12,render-token,RENDER,40,3,37,0,949303280.0,82112334.0,10.3,25.1,0.972,,213195.0,펀더멘털,
2026-09-23,13,aptos,APT,40,3,40,-3,711167987.0,172422611.0,16.7,34.8,0.72,,101451.0,펀더멘털,
2026-09-23,14,sei-network,SEI,40,3,40,-3,408915319.0,108264115.0,16.0,31.0,0.673,,1031.0,펀더멘털,
2026-09-23,15,jupiter-exchange-solana,JUP,39,9,37,-7,986602283.0,88546775.0,27.2,24.5,0.484,,4290645.0,펀더멘털,물량 부담: FDV 대비 48%
2026-09-23,16,bitcoin-cash,BCH,100,0,40,0,6834318829.0,1369966303.0,13.5,43.4,1.0,,,내러티브,
2026-09-23,17,dash,DASH,100,0,40,0,807580405.0,224693843.0,40.4,13.0,1.0,,,내러티브,
2026-09-23,18,injective-protocol,INJ,100,0,40,0,772897241.0,183362354.0,39.1,33.8,1.0,,,내러티브,
2026-09-23,19,fetch-ai,FET,100,0,40,0,477072862.0,141310587.0,14.1,23.9,0.852,,,내러티브,
2026-09-23,20,dogwifcoin,WIF,100,0,40,0,248783401.0,180093375.0,13.6,27.5,1.0,,,내러티브,
2026-09-23,1,lido-dao,LDO,73.1,40,33.1,0,360167810.0,61572259.0,-1.1,15.7,0.834,26947832871.0,47481698.0,펀더멘털,
2026-09-23,2,thorchain,RUNE,68.3,31,37.3,0,208896360.0,30983797.0,22.9,16.2,0.929,66160007.0,1420737.0,펀더멘털,
